date,systeme_id,asset_id,age_jours,usure,disponible,usage,evenement
2026-01-01,SYS_000,AST_C99D2BFF,0,0.007582,1,2.329936,EXPLOITATION
2026-01-01,SYS_001,AST_B4CD098B,0,0.021463,1,7.44506,EXPLOITATION
2026-01-01,SYS_002,AST_88290FB6,0,0.008238,1,3.384349,EXPLOITATION
2026-01-01,SYS_003,AST_BAEB0DC8,0,0.002119,1,1.211367,EXPLOITATION
2026-01-01,SYS_004,AST_CB926A1A,0,0.010331,1,1.965716,EXPLOITATION
2026-01-01,SYS_005,AST_561DD023,0,0.003817,1,4.609163,EXPLOITATION
2026-01-01,SYS_006,AST_001C64CB,0,0.00428,1,3.161892,EXPLOITATION
2026-01-01,SYS_007,AST_AB9579C3,0,0.014282,1,3.376622,EXPLOITATION
2026-01-01,SYS_008,AST_48108E1D,0,0.007683,1,4.921431,EXPLOITATION
2026-01-01,SYS_009,AST_5E723BA5,0,0.005446,1,5.278271,EXPLOITATION
2026-01-01,SYS_010,AST_421E4C41,0,0.002794,1,3.029163,EXPLOITATION
2026-01-01,SYS_011,AST_53D8D3E3,0,0.008038,1,3.09802,EXPLOITATION
2026-01-01,SYS_012,AST_2DA96BA7,0,0.003869,1,1.552962,EXPLOITATION
2026-01-01,SYS_013,AST_6E4D7680,0,0.015015,1,3.873827,EXPLOITATION
2026-01-01,SYS_014,AST_49526BF0,0,0.007709,1,2.91518,EXPLOITATION
2026-01-01,SYS_015,AST_5695567B,0,0.003763,1,2.142516,EXPLOITATION
2026-01-01,SYS_016,AST_98C7A644,0,0.001831,1,1.748898,EXPLOITATION
2026-01-01,SYS_017,AST_8EF44E07,0,0.006076,1,1.884524,EXPLOITATION
2026-01-01,SYS_018,AST_CC586B98,0,0.004257,1,2.857692,EXPLOITATION
2026-01-01,SYS_019,AST_D48DB76D,0,0.004921,1,4.292622,EXPLOITATION
2026-01-01,SYS_020,AST_4F798C9F,0,0.004581,1,2.209975,EXPLOITATION
2026-01-01,SYS_021,AST_93FABA4A,0,0.024837,1,5.568832,EXPLOITATION
2026-01-01,SYS_022,AST_36BDF128,0,0.001979,1,1.351252,EXPLOITATION
2026-01-01,SYS_023,AST_C0966294,0,0.003344,1,1.911028,EXPLOITATION
2026-01-01,SYS_024,AST_675E127D,0,0.01447,1,2.293534,EXPLOITATION
2026-01-01,SYS_025,AST_8BEA6A56,0,0.008249,1,3.370983,EXPLOITATION
2026-01-01,SYS_026,AST_6F83BA5E,0,0.011444,1,3.52032,EXPLOITATION
2026-01-01,SYS_027,AST_FDCB6CC6,0,0.005539,1,1.711211,EXPLOITATION
2026-01-01,SYS_028,AST_AEDA01A0,0,0.002596,1,1.881734,EXPLOITATION
2026-01-01,SYS_029,AST_60084B7F,0,0.002804,1,1.997055,EXPLOITATION
2026-01-01,SYS_030,AST_6C4E7AB2,0,0.024285,1,5.56652,EXPLOITATION
2026-01-01,SYS_031,AST_FEB31E7B,0,0.003822,1,2.304093,EXPLOITATION
