date,systeme_id,asset_id,quantite,increment_usure
2026-01-01,SYS_000,AST_C99D2BFF,2.329936,0.007582
2026-01-01,SYS_001,AST_B4CD098B,7.44506,0.021463
2026-01-01,SYS_002,AST_88290FB6,3.384349,0.008238
2026-01-01,SYS_003,AST_BAEB0DC8,1.211367,0.002119
2026-01-01,SYS_004,AST_CB926A1A,1.965716,0.010331
2026-01-01,SYS_005,AST_561DD023,4.609163,0.003817
2026-01-01,SYS_006,AST_001C64CB,3.161892,0.00428
2026-01-01,SYS_007,AST_AB9579C3,3.376622,0.014282
2026-01-01,SYS_008,AST_48108E1D,4.921431,0.007683
2026-01-01,SYS_009,AST_5E723BA5,5.278271,0.005446
2026-01-01,SYS_010,AST_421E4C41,3.029163,0.002794
2026-01-01,SYS_011,AST_53D8D3E3,3.09802,0.008038
2026-01-01,SYS_012,AST_2DA96BA7,1.552962,0.003869
2026-01-01,SYS_013,AST_6E4D7680,3.873827,0.015015
2026-01-01,SYS_014,AST_49526BF0,2.91518,0.007709
2026-01-01,SYS_015,AST_5695567B,2.142516,0.003763
2026-01-01,SYS_016,AST_98C7A644,1.748898,0.001831
2026-01-01,SYS_017,AST_8EF44E07,1.884524,0.006076
2026-01-01,SYS_018,AST_CC586B98,2.857692,0.004257
2026-01-01,SYS_019,AST_D48DB76D,4.292622,0.004921
2026-01-01,SYS_020,AST_4F798C9F,2.209975,0.004581
2026-01-01,SYS_021,AST_93FABA4A,5.568832,0.024837
2026-01-01,SYS_022,AST_36BDF128,1.351252,0.001979
2026-01-01,SYS_023,AST_C0966294,1.911028,0.003344
2026-01-01,SYS_024,AST_675E127D,2.293534,0.01447
2026-01-01,SYS_025,AST_8BEA6A56,3.370983,0.008249
2026-01-01,SYS_026,AST_6F83BA5E,3.52032,0.011444
2026-01-01,SYS_027,AST_FDCB6CC6,1.711211,0.005539
2026-01-01,SYS_028,AST_AEDA01A0,1.881734,0.002596
2026-01-01,SYS_029,AST_60084B7F,1.997055,0.002804
2026-01-01,SYS_030,AST_6C4E7AB2,5.56652,0.024285
2026-01-01,SYS_031,AST_FEB31E7B,2.304093,0.003822
2026-01-01,SYS_032,AST_CF1F8C29,2.60557,0.003554
2026-01-01,SYS_033,AST_CC1CF282,2.588842,0.008373
2026-01-01,SYS_034,AST_0CA552F1,3.734087,0.004526
2026-01-01,SYS_035,AST_2F745B76,2.125241,0.002599
2026-01-01,SYS_036,AST_C10A1ABC,1.87764,0.006904
2026-01-01,SYS_037,AST_791A59D6,1.593151,0.002227
2026-01-01,SYS_038,AST_04BAFAFF,2.820854,0.0084
2026-01-01,SYS_039,AST_00A4425C,4.540607,0.010079
2026-01-01,SYS_040,AST_A09C75B0,3.066981,0.022992
2026-01-01,SYS_041,AST_9AEBCE97,3.023236,0.008745
2026-01-01,SYS_042,AST_5FCEEACB,3.367697,0.007495
2026-01-01,SYS_043,AST_950677E7,4.087738,0.006389
2026-01-01,SYS_044,AST_3F085F53,4.568453,0.00441
2026-01-01,SYS_045,AST_5E3952E8,2.513829,0.00402
2026-01-01,SYS_046,AST_5CB15283,2.465464,0.004482
2026-01-01,SYS_047,AST_0633895F,3.399432,0.008063
2026-01-01,SYS_048,AST_8F274845,5.515783,0.005999
2026-01-01,SYS_049,AST_2EA61D16,6.170409,0.011889
2026-01-01,SYS_050,AST_978E598D,2.690616,0.004609
2026-01-01,SYS_051,AST_303B719B,3.336685,0.034017
2026-01-01,SYS_052,AST_EF753C6A,5.740905,0.013337
2026-01-01,SYS_053,AST_41C38300,2.442958,0.009411
2026-01-01,SYS_054,AST_8601A6AB,2.203625,0.02063
2026-01-01,SYS_055,AST_F17EB802,1.619894,0.004413
2026-01-01,SYS_056,AST_A07C05AD,2.146184,0.003484
2026-01-01,SYS_057,AST_115B9E33,4.497699,0.008657
2026-01-01,SYS_058,AST_BDF7FDA6,1.722348,0.002621
2026-01-01,SYS_059,AST_F6A33128,3.21074,0.015534
2026-01-01,SYS_060,AST_F3673684,3.496865,0.005215
