date,systeme_id,asset_id,age_jours,usure,disponible,usage,evenement
2026-01-01,SYS_000,AST_A3927809,0,0.004964,1,3.035563,EXPLOITATION
2026-01-01,SYS_001,AST_CE6BDAD7,0,0.010549,1,9.632639,EXPLOITATION
2026-01-01,SYS_002,AST_209A860D,0,0.005138,1,1.752215,EXPLOITATION
2026-01-01,SYS_003,AST_680DF7B7,0,0.011134,1,3.902474,EXPLOITATION
2026-01-01,SYS_004,AST_A8E1225C,0,0.022748,1,4.627639,EXPLOITATION
2026-01-01,SYS_005,AST_2FB236F2,0,0.017562,1,3.984485,EXPLOITATION
2026-01-01,SYS_006,AST_FC570854,0,0.025512,1,5.294159,EXPLOITATION
2026-01-01,SYS_007,AST_12CCDAFF,0,0.002989,1,1.726147,EXPLOITATION
2026-01-01,SYS_008,AST_C45E6D1A,0,0.004665,1,1.774276,EXPLOITATION
2026-01-01,SYS_009,AST_99BE6D36,0,0.004871,1,2.001837,EXPLOITATION
2026-01-01,SYS_010,AST_7042E21A,0,0.004557,1,1.788284,EXPLOITATION
2026-01-01,SYS_011,AST_94712B4B,0,0.004041,1,3.58361,EXPLOITATION
2026-01-01,SYS_012,AST_4C10F15D,0,0.011378,1,4.153548,EXPLOITATION
2026-01-01,SYS_013,AST_AB066D97,0,0.003244,1,2.603322,EXPLOITATION
2026-01-01,SYS_014,AST_B3593FC4,0,0.009801,1,5.150428,EXPLOITATION
2026-01-01,SYS_015,AST_DAD7EB79,0,0.010501,1,2.740361,EXPLOITATION
2026-01-01,SYS_016,AST_B9153615,0,0.004906,1,1.576342,EXPLOITATION
2026-01-01,SYS_017,AST_C92EA2C0,0,0.005899,1,3.072477,EXPLOITATION
2026-01-01,SYS_018,AST_AC714226,0,0.008668,1,4.030553,EXPLOITATION
2026-01-01,SYS_019,AST_0003332F,0,0.012281,1,4.086613,EXPLOITATION
2026-01-01,SYS_020,AST_D51C48EF,0,0.015875,1,4.220529,EXPLOITATION
2026-01-01,SYS_021,AST_5778DEB3,0,0.008336,1,3.934339,EXPLOITATION
2026-01-01,SYS_022,AST_CAF63ED1,0,0.007019,1,3.439929,EXPLOITATION
2026-01-01,SYS_023,AST_2F99F634,0,0.005329,1,4.474568,EXPLOITATION
2026-01-01,SYS_024,AST_A8A455F9,0,0.003702,1,1.944116,EXPLOITATION
2026-01-01,SYS_025,AST_EF72C3BD,0,0.004722,1,1.971739,EXPLOITATION
2026-01-01,SYS_026,AST_23763E33,0,0.001128,1,1.107628,EXPLOITATION
2026-01-01,SYS_027,AST_73588D52,0,0.026156,1,3.016219,EXPLOITATION
2026-01-01,SYS_028,AST_4E19BF85,0,0.002953,1,1.573164,EXPLOITATION
2026-01-01,SYS_029,AST_5F0C1997,0,0.001162,1,1.617754,EXPLOITATION
2026-01-01,SYS_030,AST_97F59D91,0,0.003418,1,1.761677,EXPLOITATION
2026-01-01,SYS_031,AST_04247E08,0,0.022422,1,4.887949,EXPLOITATION
2026-01-01,SYS_032,AST_A054240D,0,0.00793,1,3.754251,EXPLOITATION
2026-01-01,SYS_033,AST_76080EEF,0,0.005519,1,1.570427,EXPLOITATION
2026-01-01,SYS_034,AST_2E64DC5D,0,0.004284,1,3.167332,EXPLOITATION
2026-01-01,SYS_035,AST_63737B23,0,0.008557,1,3.106573,EXPLOITATION
2026-01-01,SYS_036,AST_44929F98,0,0.003645,1,2.7592,EXPLOITATION
2026-01-01,SYS_037,AST_E56AF87A,0,0.003863,1,3.244172,EXPLOITATION
2026-01-01,SYS_038,AST_F2406AEE,0,0.00699,1,2.340163,EXPLOITATION
2026-01-01,SYS_039,AST_FFAACDF7,0,0.005391,1,3.384556,EXPLOITATION
2026-01-01,SYS_040,AST_1213DDD2,0,0.001566,1,1.534338,EXPLOITATION
2026-01-01,SYS_041,AST_64663930,0,0.007624,1,2.01101,EXPLOITATION
2026-01-01,SYS_042,AST_39CD3654,0,0.021353,1,6.482317,EXPLOITATION
2026-01-01,SYS_043,AST_8206A665,0,0.008774,1,2.87619,EXPLOITATION
2026-01-01,SYS_044,AST_C1CE19B1,0,0.005999,1,3.129266,EXPLOITATION
2026-01-01,SYS_045,AST_FBD91CA1,0,0.006848,1,1.574563,EXPLOITATION
2026-01-01,SYS_046,AST_D407BD29,0,0.008261,1,4.11809,EXPLOITATION
2026-01-01,SYS_047,AST_4EEE04B0,0,0.007919,1,3.362826,EXPLOITATION
2026-01-01,SYS_048,AST_9C47E08B,0,0.006629,1,4.014315,EXPLOITATION
2026-01-01,SYS_049,AST_482C2E0B,0,0.011015,1,4.479695,EXPLOITATION
2026-01-01,SYS_050,AST_39BC9634,0,0.010982,1,3.770437,EXPLOITATION
2026-01-01,SYS_051,AST_9CFB4F0F,0,0.014506,1,3.880719,EXPLOITATION
2026-01-01,SYS_052,AST_D9E690D6,0,0.002377,1,3.651675,EXPLOITATION
2026-01-01,SYS_053,AST_54AEB0D4,0,0.006371,1,1.689438,EXPLOITATION
2026-01-01,SYS_054,AST_526F36B6,0,0.004942,1,4.419908,EXPLOITATION
2026-01-01,SYS_055,AST_5EEB844E,0,0.004126,1,1.886519,EXPLOITATION
2026-01-01,SYS_056,AST_94F23DF7,0,0.00347,1,1.418767,EXPLOITATION
2026-01-01,SYS_057,AST_B88D3635,0,0.00569,1,3.344054,EXPLOITATION
2026-01-01,SYS_058,AST_148E0935,0,0.005492,1,3.464143,EXPLOITATION
2026-01-01,SYS_059,AST_FF024979,0,0.001385,1,2.268774,EXPLOITATION
2026-01-01,SYS_060,AST_05029969,0,0.008657,1,6.10295,EXPLOITATION
2026-01-01,SYS_061,AST_7E5B5E98,0,0.005447,1,2.036964,EXPLOITATION
2026-01-01,SYS_062,AST_40D328E5,0,0.004273,1,2.568219,EXPLOITATION
2026-01-01,SYS_063,AST_F89A49F1,0,0.002563,1,2.808072,EXPLOITATION
2026-01-01,SYS_064,AST_6763F995,0,0.004386,1,3.228586,EXPLOITATION
2026-01-01,SYS_065,AST_F48F103D,0,0.003872,1,1.547788,EXPLOITATION
2026-01-01,SYS_066,AST_67336A49,0,0.016266,1,2.702719,EXPLOITATION
2026-01-01,SYS_067,AST_B19DBC94,0,0.013348,1,2.534207,EXPLOITATION
2026-01-01,SYS_068,AST_98A79446,0,0.029919,1,2.295031,EXPLOITATION
2026-01-01,SYS_069,AST_680D6915,0,0.008178,1,3.705396,EXPLOITATION
2026-01-01,SYS_070,AST_3E01BD6C,0,0.002946,1,2.647481,EXPLOITATION
2026-01-01,SYS_071,AST_D1A7DCE5,0,0.004848,1,2.84071,EXPLOITATION
2026-01-01,SYS_072,AST_D177727F,0,0.004711,1,2.097916,EXPLOITATION
2026-01-01,SYS_073,AST_4ADFFABE,0,0.00486,1,4.52674,EXPLOITATION
2026-01-01,SYS_074,AST_55BFA293,0,0.002438,1,2.504335,EXPLOITATION
2026-01-01,SYS_075,AST_4E0C1DED,0,0.025104,1,7.795599,EXPLOITATION
2026-01-01,SYS_076,AST_25C679B7,0,0.002713,1,1.70879,EXPLOITATION
2026-01-01,SYS_077,AST_AFCE8249,0,0.004047,1,3.010971,EXPLOITATION
2026-01-01,SYS_078,AST_0C2756E6,0,0.003535,1,1.832583,EXPLOITATION
2026-01-01,SYS_079,AST_B607F3D7,0,0.001307,1,1.269964,EXPLOITATION
2026-01-01,SYS_080,AST_C02D62DE,0,0.001749,1,1.61212,EXPLOITATION
2026-01-01,SYS_081,AST_87767A88,0,0.002107,1,1.552958,EXPLOITATION
2026-01-01,SYS_082,AST_BB478D66,0,0.009064,1,2.207135,EXPLOITATION
2026-01-01,SYS_083,AST_D76B2ABC,0,0.0062,1,1.999462,EXPLOITATION
2026-01-01,SYS_084,AST_4E4B9ABB,0,0.005091,1,5.262407,EXPLOITATION
2026-01-01,SYS_085,AST_74F8264E,0,0.002437,1,1.596492,EXPLOITATION
2026-01-01,SYS_086,AST_B599C173,0,0.019825,1,4.03403,EXPLOITATION
2026-01-01,SYS_087,AST_B57D1BDF,0,0.003712,1,2.211444,EXPLOITATION
2026-01-01,SYS_088,AST_E5BE752B,0,0.01522,1,5.008114,EXPLOITATION
